GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo-codequality,com.ge.sample,CountLines,113,0,4,0,22,0,6,0,4,0
JaCoCo-codequality,com.ge.sample,FindBestScan,81,0,4,0,12,0,5,0,3,0
JaCoCo-codequality,com.ge.sample,TimestampTest,56,0,0,0,7,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,Builder,128,0,4,0,26,0,5,0,3,0
JaCoCo-codequality,com.ge.sample,CheckEnv,85,0,14,0,27,0,10,0,3,0
JaCoCo-codequality,com.ge.sample,TimeLog,37,0,2,0,5,0,3,0,2,0
JaCoCo-codequality,com.ge.sample,Console,145,0,18,0,31,0,11,0,2,0
JaCoCo-codequality,com.ge.sample,SbAppend,29,0,0,0,8,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,InstanceName,63,0,6,0,10,0,5,0,2,0
JaCoCo-codequality,com.ge.sample,ZlibCompression,125,0,2,0,33,0,8,0,7,0
JaCoCo-codequality,com.ge.sample,ScanNumber,86,0,6,0,23,0,5,0,2,0
JaCoCo-codequality,com.ge.sample,Compress2,145,0,0,0,37,0,6,0,6,0
JaCoCo-codequality,com.ge.sample,BackgroundJob.new Runnable() {...},54,0,0,0,8,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,MoveCursor,44,0,2,0,12,0,4,0,3,0
JaCoCo-codequality,com.ge.sample,BackgroundJob,62,0,0,0,13,0,5,0,5,0
JaCoCo-codequality,com.ge.sample,RegexPattern,40,0,6,0,11,0,5,0,2,0
JaCoCo-codequality,com.ge.sample,Fibonacci,3,55,0,6,1,15,1,4,1,1
JaCoCo-codequality,com.ge.sample,FilePath,32,0,0,0,5,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,DateTime,69,0,0,0,14,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,DateFormat,62,0,0,0,14,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,StrBuilder,23,0,0,0,5,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,GetIntRange,665,0,92,0,130,0,50,0,4,0
JaCoCo-codequality,com.ge.sample,GetScanRange2,522,0,78,0,124,0,44,0,5,0
JaCoCo-codequality,com.ge.sample,CompressionTest,69,0,0,0,12,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,PrimeTest,80,0,10,0,21,0,8,0,3,0
JaCoCo-codequality,com.ge.sample,Compressor,144,0,6,0,44,0,8,0,5,0
JaCoCo-codequality,com.ge.sample,Compress,87,0,16,0,22,0,10,0,2,0
JaCoCo-codequality,com.ge.sample,GetScanRange,532,0,76,0,119,0,42,0,4,0
JaCoCo-codequality,com.ge.sample,Sanitize,26,0,0,0,7,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,ReplaceWithMaxScan,554,0,82,0,135,0,45,0,4,0
JaCoCo-codequality,com.ge.sample,TestingRanges,78,0,6,0,23,0,5,0,2,0
JaCoCo-codequality,com.ge.sample,Solution,41,0,8,0,13,0,7,0,3,0
JaCoCo-codequality,com.ge.sample,Replace,14,0,0,0,5,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,TestFileSize,162,0,6,0,22,0,6,0,3,0
JaCoCo-codequality,com.ge.sample,GetRange,698,0,92,0,135,0,50,0,4,0
JaCoCo-codequality,com.ge.sample,Test,27,0,0,0,8,0,2,0,2,0
JaCoCo-codequality,com.ge.sample,StreamCompress,123,0,2,0,34,0,8,0,7,0
